parent_model,dataset,numshot,student_model,mean_auc,mean_complexity
tabllm,eye_movements,64,logistic_rule_regression,0.5657,30.8
tabllm,eye_movements,64,logistic_regression,0.5445,46.0
tabllm,eye_movements,64,decision_tree,0.5384,35.0
tabllm,eye_movements,16,ttnet,0.5277,625.0
tabllm,eye_movements,16,xgboost,0.5242,25120.8
tabllm,eye_movements,16,logistic_rule_regression,0.5306,65.4
tabllm,eye_movements,16,logistic_regression,0.4959,46.0
tabllm,eye_movements,16,decision_tree,0.5101,19.0
tabllm,eye_movements,4,ttnet,0.5158,562.8
tabllm,eye_movements,4,xgboost,0.5163,1536.4
tabllm,eye_movements,4,logistic_rule_regression,0.4945,22.0
tabllm,eye_movements,4,logistic_regression,0.4898,46.0
tabllm,eye_movements,4,decision_tree,0.4952,25.4
tabllm,eye_movements,8,ttnet,0.4909,645.4
tabllm,eye_movements,8,xgboost,0.5076,6655.0
tabllm,eye_movements,8,logistic_rule_regression,0.4961,37.0
tabllm,eye_movements,8,logistic_regression,0.4733,46.0
tabllm,eye_movements,8,decision_tree,0.4974,21.8
tabllm,eye_movements,32,ttnet,0.478,614.8
tabllm,eye_movements,32,xgboost,0.5205,768.4
tabllm,eye_movements,32,logistic_rule_regression,0.4973,51.0
tabllm,eye_movements,32,logistic_regression,0.4751,46.0
tabllm,eye_movements,32,decision_tree,0.5179,44.6
tabllm,eye_movements,256,ttnet,0.526,647.8
tabllm,eye_movements,256,xgboost,0.5613,3690.8
tabllm,eye_movements,256,logistic_rule_regression,0.5767,42.0
tabllm,eye_movements,256,logistic_regression,0.5509,46.0
tabllm,eye_movements,256,decision_tree,0.54,64.6
tabllm,eye_movements,128,ttnet,0.5174,591.4
tabllm,eye_movements,128,xgboost,0.5645,642.4
tabllm,eye_movements,128,logistic_rule_regression,0.57,26.0
tabllm,eye_movements,128,logistic_regression,0.5294,46.0
tabllm,eye_movements,128,decision_tree,0.5681,15.0
tabllm,creditg,64,ttnet,0.6751,575.8
tabllm,creditg,64,xgboost,0.679,2518.8
tabllm,creditg,64,logistic_rule_regression,0.6878,49.4
tabllm,creditg,64,logistic_regression,0.6514,96.0
tabllm,creditg,64,decision_tree,0.6728,206.2
tabllm,creditg,16,ttnet,0.6021,588.6
tabllm,creditg,16,xgboost,0.6253,2792.6
tabllm,creditg,16,logistic_rule_regression,0.6159,90.8
tabllm,creditg,16,logistic_regression,0.6138,96.0
tabllm,creditg,16,decision_tree,0.5845,487.8
tabllm,creditg,4,ttnet,0.4915,615.0
tabllm,creditg,4,xgboost,0.6143,2613.0
tabllm,creditg,4,logistic_rule_regression,0.5494,54.0
tabllm,creditg,4,logistic_regression,0.5337,96.0
tabllm,creditg,4,decision_tree,0.5907,119.0
tabllm,creditg,8,ttnet,0.6914,540.2
tabllm,creditg,8,xgboost,0.6979,1359.4
tabllm,creditg,8,logistic_rule_regression,0.7029,67.0
tabllm,creditg,8,logistic_regression,0.6789,96.0
tabllm,creditg,8,decision_tree,0.6846,235.8
tabllm,creditg,32,ttnet,0.7132,545.0
tabllm,creditg,32,xgboost,0.7252,2260.0
tabllm,creditg,32,logistic_rule_regression,0.7128,80.4
tabllm,creditg,32,logistic_regression,0.7092,96.0
tabllm,creditg,32,decision_tree,0.6937,261.8
tabllm,creditg,256,ttnet,0.7151,609.2
tabllm,creditg,256,xgboost,0.7552,5008.6
tabllm,creditg,256,logistic_rule_regression,0.7281,77.0
tabllm,creditg,256,logistic_regression,0.7437,96.0
tabllm,creditg,256,decision_tree,0.6456,162.2
tabllm,creditg,128,ttnet,0.7293,591.6
tabllm,creditg,128,xgboost,0.7384,9091.2
tabllm,creditg,128,logistic_rule_regression,0.7368,90.0
tabllm,creditg,128,logistic_regression,0.7379,96.0
tabllm,creditg,128,decision_tree,0.687,359.8
tabllm,compas,64,ttnet,0.6465,393.2
tabllm,compas,64,xgboost,0.6534,3166.4
tabllm,compas,64,logistic_rule_regression,0.6648,28.0
tabllm,compas,64,logistic_regression,0.6563,22.0
tabllm,compas,64,decision_tree,0.6169,263.8
tabllm,compas,16,ttnet,0.6377,328.4
tabllm,compas,16,xgboost,0.6389,7010.2
tabllm,compas,16,logistic_rule_regression,0.6443,46.0
tabllm,compas,16,logistic_regression,0.6467,22.0
tabllm,compas,16,decision_tree,0.6097,329.8
tabllm,compas,4,ttnet,0.5826,389.8
tabllm,compas,4,xgboost,0.5702,18574.6
tabllm,compas,4,logistic_rule_regression,0.5922,71.0
tabllm,compas,4,logistic_regression,0.598,22.0
tabllm,compas,4,decision_tree,0.5504,610.2
tabllm,compas,8,ttnet,0.6324,434.0
tabllm,compas,8,xgboost,0.6299,1291.6
tabllm,compas,8,logistic_rule_regression,0.606,2.4
tabllm,compas,8,logistic_regression,0.6665,22.0
tabllm,compas,8,decision_tree,0.5766,11.8
tabllm,compas,32,ttnet,0.5896,374.2
tabllm,compas,32,xgboost,0.5988,8288.0
tabllm,compas,32,logistic_rule_regression,0.6233,47.4
tabllm,compas,32,logistic_regression,0.6152,22.0
tabllm,compas,32,decision_tree,0.5768,289.4
tabllm,compas,256,ttnet,0.6418,419.6
tabllm,compas,256,xgboost,0.6985,5221.0
tabllm,compas,256,logistic_rule_regression,0.7194,29.0
tabllm,compas,256,logistic_regression,0.7151,22.0
tabllm,compas,256,decision_tree,0.6771,227.8
tabllm,compas,128,ttnet,0.6589,414.6
tabllm,compas,128,xgboost,0.6824,6705.4
tabllm,compas,128,logistic_rule_regression,0.7039,88.0
